leaid,read_score,math_score,total_score
100005,35,24.2,59.2
100006,39.2,22.2,61.400000000000006
100007,61.8,52.6,114.4
100008,64.6,57.6,122.19999999999999
100011,48,32,80
100012,37,25,62
100013,63.2,52.2,115.4
100030,44,30,74
100060,47,32,79
100090,21,10.3,31.3
100100,67,52,119
100120,52,37,89
100180,33,20,53
100185,55,36,91
100188,26.7,10.9,37.6
100189,53,38,91
100190,49.8,39.6,89.4
100194,53,33,86
100195,52,47,99
100197,20.75,18.25,39
100210,58.6,57.6,116.2
100240,51.2,37.8,89
100270,47.2,35,82.2
100300,14.2,5.4,19.6
100330,14.1,5.4,19.5
100360,36,23.1,59.1
100390,23.6,11.2,34.8
100420,39.8,24.2,64
100450,54,36,90
100480,16.1,4.4,20.5
100510,28,16.1,44.1
100540,42.4,25.6,68
100600,30,17.1,47.1
100630,37.6,26,63.6
100660,36,22.4,58.4
100690,27,8.3,35.3
100720,31,19,50
100750,37,25,62
100780,44,27,71
100810,38,24,62
100840,34,20,54
100870,25,12.2,37.2
100900,34.5,14.7,49.2
100930,45,28,73
100960,34,21,55
100990,66,54,120
101020,41.2,29.2,70.4
101050,47,33,80
101080,29,12.2,41.2
101110,20,7.3,27.3
101140,34.4,20.6,55
101170,37.8,25.8,63.599999999999994
101200,42,30,72
101230,38.6,24,62.6
101260,28.7,20.8,49.5
101290,44.8,34.4,79.19999999999999
101320,52.2,41.4,93.6
101350,39.6,22.6,62.2
101380,45.4,28.6,74
101410,34,19.1,53.1
101440,15,4.5,19.5
101470,46,32,78
101530,55.8,46.2,102
101560,41,27,68
101590,34,20,54
101620,34.4,23.4,57.8
101640,41,33,74
101660,35,26,61
101680,13.2,8.3,21.5
101690,51,37,88
101710,25,13.3,38.3
101720,46,26,72
101730,63,50,113
101740,34,23.1,57.1
101760,62,58.4,120.4
101770,45.6,28.2,73.8
101800,45,33.2,78.2
101830,37.4,24.2,61.599999999999994
101860,50,35,85
101890,53,34,87
101920,35.6,19.8,55.400000000000006
101950,41,30,71
101980,18.9,17.3,36.2
102010,45.6,31,76.6
102040,36.8,21.8,58.599999999999994
102070,37.8,27.8,65.6
102100,40.4,24.2,64.6
102130,24.7,10.9,35.6
102160,21,7.3,28.3
102190,23,8.3,31.3
102220,51,37,88
102250,33,27,60
102310,41,29,70
102350,14.2,5.4,19.6
102370,32.2,23.4,55.6
102400,35,18.1,53.1
102430,31.8,18,49.8
102480,43.8,28.4,72.19999999999999
102490,80.6,81,161.6
102520,59,51,110
102550,57,43,100
102580,38.6,29.2,67.8
102610,40,26,66
102635,46.4,33,79.4
102640,37,27,64
102650,45,27,72
102670,16.1,5.4,21.5
102700,34,25,59
102730,33,12.3,45.3
102760,44,28,72
102790,32,20,52
102820,31,18.1,49.1
102850,36,24,60
102880,38,22,60
102910,44,28,72
102940,49,38,87
102970,17,4.5,21.5
103000,35,23,58
103030,54.6,42.4,97
103062,45.4,34,79.4
103090,20,6.3,26.3
103120,46,29,75
103150,24,11.3,35.3
103180,33.4,18,51.4
103210,33,19.1,52.1
103240,39,22,61
103270,15.7,10.8,26.5
103300,45,24,69
103330,32,20,52
103360,32.8,22.6,55.4
103390,39.4,29.2,68.6
103420,41,19.1,60.1
103430,73.8,64.8,138.6
103450,36.6,18,54.6
103480,38,18.2,56.2
103510,15.2,4.4,19.6
103540,64,37,101
103580,43,27,70
200001,5.5,5.75,11.25
200003,2.5,2.5,5
200004,6.25,6.25,12.5
200005,11.125,11.125,22.25
200006,25.75,24.5,50.25
200007,27,19.75,46.75
200020,6.25,5,11.25
200030,39.75,34.875,74.625
200050,22.25,10,32.25
200060,32.875,32.75,65.625
200070,45.75,28.375,74.125
200090,39.625,24.875,64.5
200100,40.75,22.125,62.875
200120,27.75,21.625,49.375
200130,43,19.5,62.5
200150,39.25,26.5,65.75
200180,34.25,25.5,59.75
200210,39.5,33,72.5
200240,43.25,29.5,72.75
200270,58.375,38.25,96.625
200300,19.666666666666668,19.666666666666668,39.333333333333336
200330,24.5,24.5,49
200360,24.5,24.5,49
200390,39.75,26,65.75
200450,17.25,34.875,52.125
200480,33.75,20.625,54.375
200485,37.125,24.875,62
200510,37.5,24.75,62.25
200520,23.5,18.5,42
200525,23.5,13.625,37.125
200540,43.25,11.125,54.375
200570,27,20.75,47.75
200600,33,24.5,57.5
200610,13.375,9.75,23.125
200625,12.125,7.375,19.5
200660,49.5,37,86.5
200670,24.5,24.5,49
200680,18.625,13.625,32.25
200690,62.25,52.5,114.75
200700,30.875,25.875,56.75
200710,3.75,3.75,7.5
200715,24.5,24.5,49
200720,50.125,48.875,99
200730,37,17.25,54.25
200760,13.625,11.125,24.75
200770,50.125,32.625,82.75
200775,17.25,17.25,34.5
200780,44.5,30.75,75.25
200800,43.25,18.625,61.875
200810,44.5,39.625,84.125
200840,24.5,41.333333333333336,65.83333333333334
200862,34.5,12.125,46.625
400001,58.4,54,112.4
400003,29.5,26.6,56.1
400016,30.5,32.5,63
400019,70,50.1,120.1
400021,62.5,49.5,112
400023,13.3,14.2,27.5
400026,47.6,37.7,85.30000000000001
400036,73.5,63.6,137.1
400041,47,35.1,82.1
400043,57,44.5,101.5
400047,8.9,16.9,25.799999999999997
400052,28.2,43.6,71.8
400053,76,64.5,140.5
400056,93.2,75.5,168.7
400057,27.7,15.8,43.5
400061,28.5,33.5,62
400065,71.5,53.1,124.6
400067,24.5,24.5,49
400070,89.75,87.125,176.875
400074,49,40,89
400077,28.5,21.6,50.1
400078,24.6,15.4,40
400079,12.8,11.8,24.6
400081,76.9,72.8,149.7
400082,28,22.7,50.7
400083,7.3,13.1,20.4
400094,11.9,8,19.9
400095,24.8,16.9,41.7
400097,79,76.5,155.5
400099,25.6,24.5,50.1
400103,12.2,9.6,21.799999999999997
400104,49.75,49.75,99.5
400106,67,65,132
400107,21.7,19.1,40.8
400108,25.2,24.7,49.9
400112,47,46.8,93.8
400120,75,24.5,99.5
400121,32.6,26.6,59.2
400124,14,14.8,28.8
400125,10,10,20
400129,75,75,150
400130,41.8,33.9,75.69999999999999
400133,17.25,17.25,34.5
400144,23.8,29.7,53.5
400147,10,10,20
400149,28,28,56
400153,18,10,28
400154,15.8,19.8,35.6
400157,43,35.6,78.6
400159,17.9,19.8,37.7
400160,24.5,24.5,49
400161,49.5,30,79.5
400163,20.8,18.9,39.7
400192,24.5,24.5,49
400197,50.333333333333336,34.5,84.83333333333334
400201,15.8,14.8,30.6
400202,56.5,45.6,102.1
400204,29.1,20.1,49.2
400207,24.5,24.5,49
400209,58.6,32.7,91.30000000000001
400211,85.6,80.6,166.2
400212,36.1,39.1,75.2
400216,64.5,15,79.5
400219,15.4,6.4,21.8
400223,54.5,60.5,115
400225,61,62,123
400231,75.6,55.5,131.1
400235,24.5,24.5,49
400238,64.5,42.5,107
400241,65,56,121
400243,24.9,18.9,43.8
400244,16.9,11,27.9
400246,49.75,24.5,74.25
400248,49.8,61.5,111.3
400254,27.6,18.7,46.3
400259,15,9,24
400261,20.7,10.8,31.5
400266,22.7,18.7,41.4
400267,24.5,24.5,49
400273,25.2,21.4,46.599999999999994
400274,18.625,14.875,33.5
400276,13.9,17.8,31.700000000000003
400278,29.8,19.7,49.5
400280,38.5,44.1,82.6
400282,18.2,19.2,37.4
400284,24.5,24.5,49
400288,11.4,7.5,18.9
400290,30.8,24.9,55.7
400295,32.2,28,60.2
400303,23.7,13.8,37.5
400311,27,18.1,45.1
400312,10,10,20
400313,75,24.5,99.5
400315,17.9,15.8,33.7
400316,17,17,34
400321,29.875,29.875,59.75
400322,24.8,18,42.8
400326,18.166666666666668,21.5,39.66666666666667
400327,51,34,85
400329,41.8,30.8,72.6
400330,24.6,11.2,35.8
400332,19.666666666666668,24.5,44.16666666666667
400341,36,37.5,73.5
400344,24.5,24.5,49
400345,45.166666666666664,36.333333333333336,81.5
400347,49,34.833333333333336,83.83333333333334
400348,41,37,78
400349,43,43.5,86.5
400352,17.3,14.3,31.6
400353,21.6,17,38.6
400354,22.7,13.8,36.5
400355,19.1,12.8,31.900000000000002
400356,20.9,16.8,37.7
400357,17.9,12,29.9
400363,28.625,27.25,55.875
400364,24.7,22.6,47.3
400366,57.8,49.7,107.5
400367,15.4,10.9,26.3
400373,27,25,52
400381,47.5,35.7,83.2
400382,15.9,10.9,26.8
400383,27.25,21,48.25
400384,24.7,14.3,39
400385,25.7,14.3,40
400386,16.3,10.4,26.700000000000003
400387,17.25,20.875,38.125
400388,17,11,28
400389,15.7,13.7,29.4
400394,28.8,14,42.8
400395,41.5,49.5,91
400398,24.5,24.5,49
400402,18.8,18.8,37.6
400405,16.9,9,25.9
400407,44.5,34.6,79.1
400414,24.8,24.8,49.6
400416,14.833333333333334,24.5,39.333333333333336
400417,51,51,102
400419,75,24.5,99.5
400420,35.75,25.875,61.625
400423,20.9,16.8,37.7
400426,68.5,64.5,133
400427,50,40,90
400429,49.75,49.75,99.5
400432,39.6,29.2,68.8
400440,85.75,89.625,175.375
400444,24.5,24.5,49
400447,41,46.5,87.5
400450,43.4,46.6,90
400459,24.5,24.5,49
400463,14.4,18.4,32.8
400520,28.625,38.375,67
400608,97.5,92.5,190
400610,41.6,45.6,87.2
400612,41.333333333333336,30.833333333333332,72.16666666666667
400614,49.5,45.5,95
400615,45.333333333333336,51,96.33333333333334
400618,16.8,13.7,30.5
400619,29,24.2,53.2
400621,23.6,16.6,40.2
400625,36.5,19.666666666666668,56.16666666666667
400626,24.5,24.5,49
400632,21.8,20.7,42.5
400633,30.5,16.2,46.7
400636,29.5,20.6,50.1
400640,24.5,24.5,49
400653,56,45.5,101.5
400655,85.75,82.75,168.5
400656,16.9,16.9,33.8
400680,44.4,44,88.4
400720,16.3,13.3,29.6
400746,49.625,57.125,106.75
400747,92.2,92.2,184.4
400752,53.666666666666664,43,96.66666666666666
400757,85,81.1,166.1
400760,95,84.625,179.625
400769,26.6,22.7,49.3
400770,37,37,74
400771,60.9,35.6,96.5
400772,51.5,38,89.5
400775,52,42,94
400776,33.9,37.7,71.6
400778,76,81.125,157.125
400783,45,49,94
400785,16.9,15.8,32.7
400788,34.5,37.25,71.75
400790,35.6,31.3,66.9
400794,36.333333333333336,38.333333333333336,74.66666666666667
400796,24.5,24.5,49
400800,55,39.5,94.5
400801,19.666666666666668,24.5,44.16666666666667
400803,46.5,32.6,79.1
400805,68.375,48.25,116.625
400807,67.7,63.8,131.5
400811,19.75,7.25,27
400813,17.25,22.25,39.5
400814,21.6,18.7,40.3
400816,23,17,40
400818,95,81,176
400819,89.75,74.5,164.25
400820,32.5,21.8,54.3
400821,16.9,12.9,29.799999999999997
400823,42,42.5,84.5
400827,24.5,24.5,49
400828,68,67,135
400829,93.75,92.5,186.25
400830,95.4,93.5,188.9
400831,92.375,84.875,177.25
400838,58.5,52.5,111
400839,21.7,10.8,32.5
400843,95,92.5,187.5
400845,24.5,24.5,49
400851,87.83333333333333,71.16666666666667,159
400858,38,41,79
400859,66.5,65,131.5
400861,91.66666666666667,74.5,166.16666666666669
400862,42.7,32.8,75.5
400872,18.9,9,27.9
400877,34.5,44.5,79
400878,96.875,89,185.875
400880,20.4,6.5,26.9
400889,75,24.5,99.5
400897,88.75,86.25,175
400898,83.75,78.75,162.5
400900,95,74.5,169.5
400903,86.66666666666667,85,171.66666666666669
400904,37.5,29.6,67.1
400909,55.125,53.875,109
400910,40.7,40.7,81.4
400911,69,72.75,141.75
400917,24.5,24.5,49
400919,69.5,49.5,119
400920,24.5,23,47.5
400924,42,43.666666666666664,85.66666666666666
400926,41.7,25.7,67.4
400931,24.5,24.5,49
400941,75,75,150
400946,26.5,23.166666666666668,49.66666666666667
400947,51.166666666666664,68,119.16666666666666
400950,12.5,22.5,35
400955,69.5,69.5,139
400957,10,10,20
400965,58.25,69.75,128
400969,75,75,150
400971,24.5,24.5,49
400976,24.5,24.5,49
401000,18.333333333333332,23.333333333333332,41.666666666666664
401160,20,18,38
401180,18.1,16.7,34.8
401410,34.6,38,72.6
401460,47.4,42.2,89.6
401600,23.1,20.2,43.3
401740,28.8,25.8,54.6
401760,71.6,74.4,146
401870,57.8,53.4,111.19999999999999
401940,17.1,19.1,36.2
402320,13.3,9.4,22.700000000000003
402530,30,24.9,54.9
402600,29.625,24.75,54.375
402690,33.8,34.8,68.6
402740,18,10,28
402860,32.8,35,67.8
402920,31.6,26,57.6
403010,29.8,29.8,59.6
403040,50,50,100
403080,39.875,38.5,78.375
403200,17.8,13.8,31.6
403290,11.5,17.3,28.8
403310,18,14,32
403400,54.4,56.6,111
403450,42.2,46.2,88.4
403500,24.5,15.5,40
403550,32.8,50.8,83.6
403730,13.625,13.625,27.25
403780,50.2,53,103.2
403820,25,31.5,56.5
403860,16.4,12.4,28.799999999999997
403870,37,34,71
403950,12.9,7,19.9
403990,32,34,66
404010,50.6,38.8,89.4
404060,15.1,16.2,31.299999999999997
404280,31.8,35.8,67.6
404410,23.6,18.8,42.400000000000006
404570,27.2,21.6,48.8
404630,41.6,39.4,81
404720,23.8,21.4,45.2
404820,17.8,17.8,35.6
404970,39.6,44.6,84.2
405030,18.375,19.625,38
405070,30.4,35.4,65.8
405320,38.5,39,77.5
405360,24.5,24.5,49
405530,28.4,30.3,58.7
405820,17.6,19.7,37.3
405930,42.6,40.4,83
405980,30.5,30.1,60.6
406030,46.8,49.6,96.4
406070,31,36,67
406250,46.6,51.8,98.4
406330,30.6,30.2,60.8
406440,45.2,23.7,68.9
406580,42.5,40.5,83
406730,47.2,44.8,92
406740,13.3,26.5,39.8
406810,47.2,46.2,93.4
406850,30.7,20.9,51.599999999999994
406870,13.8,12.4,26.200000000000003
406960,5,5,10
407130,42,42,84
407170,33,36.6,69.6
407240,35,30.1,65.1
407300,46.2,44.2,90.4
407430,24.5,24.5,49
407520,24.5,18.9,43.4
407530,23.5,11.7,35.2
407570,50.8,51.4,102.19999999999999
407630,20.875,25.875,46.75
407700,41.5,33,74.5
407750,50,48.6,98.6
407820,58,54,112
408020,44.6,43.7,88.30000000000001
408080,53,38.6,91.6
408170,23.4,21.2,44.599999999999994
408230,19.75,12.375,32.125
408280,53,56,109
408340,49.2,49.2,98.4
408410,45,43,88
408520,25.2,22.8,48
408600,28.5,36.6,65.1
408680,26.1,31,57.1
408800,35.8,29.2,65
408850,53,53.8,106.8
408910,36.5,23.333333333333332,59.83333333333333
409160,10.4,5.5,15.9
409190,26,35.6,61.6
409250,28.6,25.2,53.8
409310,38.1,38.2,76.30000000000001
409430,15.1,10.2,25.299999999999997
409460,15.1,18.1,33.2
409540,75,24.5,99.5
409630,22.4,21.2,43.599999999999994
409731,50.333333333333336,53,103.33333333333334
409733,47.1,48.6,95.7
409734,27,19.625,46.625
500001,41,22,63
500006,32,18,50
500009,40,21,61
500012,45,16.1,61.1
500015,46.6,34.2,80.80000000000001
500016,46,18,64
500017,38,22.4,60.4
500019,45.4,29,74.4
500020,37.5,10.8,48.3
500021,46,27.5,73.5
500023,30,18,48
500026,20.2,6.8,27
500028,35,20,55
500029,41,35,76
500030,35.5,11.7,47.2
500032,30,13.1,43.1
500035,20.875,20.875,41.75
500036,15.8,12.9,28.700000000000003
500041,28.5,14.6,43.1
500042,34.8,23,57.8
500043,56.6,34.8,91.4
500044,36.4,20.2,56.599999999999994
500045,31,15,46
500046,45,34,79
500047,35,21,56
500048,41,17,58
500049,42.2,31.4,73.6
500051,39,18,57
500055,71,45,116
500059,60,43,103
500062,33,14.1,47.1
500065,30,16,46
500067,44,29,73
500068,57,37,94
500070,37,15,52
500071,47.5,23.1,70.6
500072,38,16.4,54.4
500073,47,32,79
500074,56.8,38,94.8
500076,38,18,56
500078,94.9,89.1,184
500079,28,13.1,41.1
500082,43,27,70
500390,9.833333333333334,3.3333333333333335,13.166666666666668
500394,43.6,18.8,62.400000000000006
500398,54,29,83
500402,36,18,54
500405,38,18,56
500407,10,10,20
500408,8,6,14
500409,84.6,60.5,145.1
500410,21.5,8.333333333333334,29.833333333333336
500412,47.625,21.625,69.25
500416,93.5,83.25,176.75
500417,43,16.666666666666668,59.66666666666667
500418,47,15.333333333333334,62.333333333333336
500419,25,12,37
500422,5,5,10
502250,48.2,29.4,77.6
502280,47,26,73
502430,43,26,69
502550,52,28,80
502580,37,22.1,59.1
502610,46,34,80
502670,22.6,14.9,37.5
502700,39,19,58
502730,28,15.1,43.1
502790,45,23,68
502820,50,19,69
502880,47.8,34.8,82.6
502960,58.8,47.4,106.19999999999999
503030,45,26.4,71.4
503060,64.2,49.6,113.80000000000001
503090,53,37,90
503150,48.8,31.6,80.4
503240,67,52,119
503300,36,20,56
503320,20.8,7.3,28.1
503420,43,18.2,61.2
503450,41,28,69
503480,40,18.7,58.7
503630,30.5,14.8,45.3
503640,49.4,30.6,80
503690,54,37.8,91.8
503710,51,31,82
503750,55.2,37,92.2
503770,42,30,72
503840,46,29,75
503960,41,21,62
504020,41,23,64
504050,54,34,88
504080,40,24,64
504110,45,32,77
504170,30,13,43
504200,48,40,88
504350,28.5,13.6,42.1
504370,33,15.2,48.2
504380,42,27,69
504410,54,37,91
504560,60,45,105
504590,51.8,39.2,91
504680,54,27,81
504740,56,33,89
504800,33,17,50
504860,41,24,65
504890,44,26,70
504930,48.4,37.6,86
504980,25,11.2,36.2
505170,30.5,9.4,39.9
505190,53,40,93
505340,46,24,70
505410,18,6.5,24.5
505430,49,24,73
505470,36,19,55
505500,31,12.2,43.2
505550,20,4.5,24.5
505580,46,30,76
505680,39.2,23.2,62.400000000000006
505760,46,23,69
505850,31,14.1,45.1
505970,57,41,98
506060,30,15,45
506090,51.8,33.2,85
506120,59.2,43.2,102.4
506150,47,27,74
506210,29,14.2,43.2
506240,44,29,73
506270,18.8,7.5,26.3
506330,46.4,29.6,76
506360,49,23,72
506420,44,32,76
506540,48,31,79
506630,48,34,82
506690,38,21,59
506840,52,38,90
506870,33,29,62
506900,67.8,55.6,123.4
506930,37,21,58
506990,65.6,49.8,115.39999999999999
507110,32,11.1,43.1
507140,39.5,19.6,59.1
507170,34,23,57
507230,22,13,35
507290,44,26,70
507320,41,29,70
507350,29,15,44
507380,54.2,35.8,90
507410,24.5,5,29.5
507530,40,23.1,63.1
507560,52,36,88
507620,45,18.1,63.1
507680,21,4.5,25.5
507710,26.6,17.6,44.2
507740,41,17.1,58.1
507770,43,27,70
507840,19.2,6.3,25.5
507860,41,23,64
507890,32.4,17.2,49.599999999999994
507920,37,24,61
507990,50,22,72
508010,34.5,5,39.5
508040,30.2,15.2,45.4
508130,40.6,28.8,69.4
508240,50,25,75
508280,34.6,23.8,58.400000000000006
508340,32,15,47
508400,35,13.2,48.2
508490,40.5,17.3,57.8
508610,50,33.8,83.8
508640,31,12.1,43.1
508670,57,37.6,94.6
508700,45,23,68
508730,47,27,74
508940,40,24,64
509000,35,20.2,55.2
509060,40,23,63
509150,43,29,72
509190,47,32,79
509240,38,22,60
509270,42.5,26.1,68.6
509330,41,24,65
509360,16.1,8.4,24.5
509390,33.8,19.2,53
509420,39,27,66
509480,56,37,93
509510,22.2,5.5,27.7
509540,38,19.1,57.1
509570,41,18.6,59.6
509600,48,41.5,89.5
509630,27,18,45
509720,53,28,81
509750,43,34,77
509780,21.7,10.9,32.6
