leaid,student_total,grad_rate_midpt
0100005,3657,90.62127426852612
0100006,5147,88.8638041577618
0100007,12340,92.01012965964344
0100008,9652,95.81858682138417
0100011,1428,90.77310924369748
0100012,1885,86.42917771883289
0100013,3727,95.79286289240676
0100030,2892,87.07295988934993
0100060,1385,94.38267148014441
0100090,1607,78.61667703795892
0100100,2206,93.22529465095195
0100120,3706,88.4522396114409
0100180,2368,83.74577702702702
0100185,2868,92.04951185495118
0100188,732,80.21448087431695
0100189,1260,93.06746031746032
0100190,5187,95.80277617119722
0100194,2767,92.88941091434766
0100197,405,64.2641975308642
0100210,6836,91.4600643651258
0100240,8109,86.07522505857689
0100270,29063,84.0670956198603
0100300,831,80.15403128760529
0100330,3596,74.19632925472746
0100360,3172,85.08165195460276
0100390,22031,77.67550270073987
0100420,7386,91.4989168697536
0100450,957,91.35841170323928
0100480,1535,84.09641693811074
0100510,3152,81.74904822335026
0100540,9171,90.75716933813106
0100600,3281,81.72538860103627
0100630,3848,90.31574844074844
0100660,6921,84.72735153879498
0100690,1531,82.15284128020902
0100720,3016,88.41445623342175
0100750,1939,87.97266632284683
0100780,2282,94.26993865030676
0100810,1876,94.49626865671641
0100840,2562,86.44613583138174
0100870,1470,82.59251700680272
0100900,972,79.85082304526749
0100930,2731,92.25009154155987
0100960,2081,89.75204228736185
0100990,2400,91.59291666666667
0101020,8960,89.25814732142857
0101050,2743,92.96099161502005
0101080,1082,84.99537892791128
0101110,3745,89.90307076101467
0101140,8092,89.28299555116163
0101170,7770,86.5123552123552
0101200,2036,90.85805500982318
0101230,8231,86.98311262301057
0101260,651,92.08294930875576
0101290,9798,86.84854051847317
0101320,6182,92.26496279521191
0101350,3862,84.1773692387364
0101380,7558,91.62132839375496
0101410,2621,82.02556276230447
0101440,1985,86.01662468513854
0101470,2213,89.58563036601898
0101530,3907,92.6229843869977
0101560,2656,95.93335843373494
0101590,2732,88.51390922401171
0101620,5167,82.00348364621638
0101640,1002,91.85429141716567
0101660,2515,90.04214711729622
0101680,1213,82.16488046166529
0101690,1690,92.06686390532545
0101710,2935,89.11754684838161
0101720,1514,88.443857331572
0101730,2591,93.62755692782709
0101740,2337,92.6696619597775
0101760,2989,92.25460020073604
0101770,5918,92.29368029739777
0101800,19217,86.60659832440027
0101830,5085,88.75339233038348
0101860,1283,88.19641465315667
0101890,2365,88.58816067653277
0101920,36229,89.61456291920837
0101950,2038,88.19578017664378
0101980,829,81.66586248492159
0102010,7616,91.53886554621849
0102040,4278,88.80504908835904
0102070,9352,85.54330624465355
0102100,8674,89.9294443163477
0102130,564,88.46631205673759
0102160,1682,86.95065398335315
0102190,2348,85.24148211243612
0102220,17647,92.16915056383522
0102250,1179,91.63698049194232
0102310,3082,86.20181700194678
0102350,1214,85.87973640856671
0102370,52741,82.5571945924423
0102400,3685,86.62442333785617
0102430,25973,79.13229122550341
0102480,6920,90.27601156069365
0102490,3532,97.05832389580974
0102520,2369,93.89700295483325
0102550,1213,91.49793899422919
0102580,3933,87.83168065090263
0102610,950,90.96315789473684
0102635,3601,93.69258539294641
0102640,2270,89.99030837004406
0102650,3235,88.51684698608965
0102670,1523,94.08798424162836
0102700,5324,90.23046581517656
0102730,2574,92.95299145299145
0102760,1006,94.64015904572564
0102790,2129,86.46171911695632
0102820,2254,87.96938775510205
0102850,1404,95.14957264957265
0102880,3209,79.23870364599563
0102910,1944,93.48816872427983
0102940,2285,87.09146608315098
0102970,3077,85.42898927526812
0103000,904,85.63827433628319
0103030,16580,92.6189384800965
0103062,7668,87.13941053729786
0103090,1816,82.30781938325991
0103120,2129,91.0770314701738
0103150,1829,90.38928376161837
0103180,7157,92.44711471286851
0103210,3089,89.46552282292004
0103240,1730,86.45260115606936
0103270,997,80.73620862587762
0103300,1418,92.07334273624824
0103330,1923,90.48309932397295
0103360,9156,87.46472258628222
0103390,15629,83.70458762556785
0103420,1425,85.51017543859649
0103430,5130,93.81267056530214
0103450,7415,89.78395144976399
0103480,2850,88.33228070175439
0103510,1821,86.38989566172432
0103540,1011,92.97823936696341
0103580,2610,85.77624521072796
0200001,4670,51.19400428265524
0200003,2413,62.03066721922918
0200004,525,50.780952380952385
0200005,319,71.48275862068967
0200006,1263,95.85035629453682
0200007,199,78.99497487437186
0200020,1811,80.70900055218111
0200030,117,77.05128205128206
0200050,339,49.1858407079646
0200060,324,82.6574074074074
0200070,379,71.3509234828496
0200090,483,66.94202898550725
0200100,618,77.83171521035598
0200120,523,68.39961759082219
0200130,4969,76.53431273898168
0200150,2282,77.329097283085
0200180,46552,77.97753050352294
0200210,4536,78.85317460317461
0200240,1200,70.85583333333332
0200270,232,81.12931034482759
0200300,49,75
0200330,59,75
0200360,74,75
0200390,8383,81.98974114278897
0200450,90,71.03333333333333
0200480,2528,87.50356012658227
0200485,294,82.0204081632653
0200510,16626,79.34361842896668
0200520,232,55.83189655172414
0200525,273,82.64835164835165
0200540,2036,35.18123772102161
0200570,581,73.17383820998279
0200600,11256,73.09852523098792
0200610,1496,67.7159090909091
0200625,2043,73.67058247674989
0200660,427,90.04683840749415
0200670,14,75
0200680,194,74.50515463917526
0200690,33,75
0200700,170,79.8529411764706
0200710,633,60.43759873617693
0200720,313,87.66773162939296
0200730,102,75
0200760,307,65.26384364820846
0200770,472,61.483050847457626
0200775,260,65.50769230769231
0200780,586,77.77474402730375
0200800,337,71.95845697329376
0200810,240,79.1375
0200840,48,75
0200862,2524,48.11568938193344
0400001,4622,92.55798355690177
0400003,2389,88.35454164922561
0400016,729,82.97393689986282
0400019,512,89.673828125
0400021,440,65.4159090909091
0400022,58,75
0400023,1007,70.55511420059582
0400026,316,86.51582278481013
0400036,303,87.96699669966996
0400041,686,94.38775510204081
0400043,479,85.48434237995825
0400047,816,44.48774509803921
0400052,525,93.00952380952381
0400053,971,78.17919670442842
0400056,847,93.08264462809917
0400057,650,20.413846153846155
0400061,607,15.434925864909392
0400065,608,95.76644736842105
0400067,96,75
0400070,487,93.06981519507187
0400074,1001,92.68431568431568
0400077,370,23.92702702702703
0400078,1361,38.64070536370316
0400079,1657,20.930597465298735
0400081,149,76.81208053691275
0400082,6602,81.44819751590427
0400083,5247,28.61654278635411
0400094,835,34.037125748502994
0400095,736,47.08152173913043
0400097,750,94.77333333333333
0400099,301,54.461794019933556
0400103,4256,22.90437030075188
0400104,46,75
0400106,860,90.18255813953488
0400107,3457,43.4642753832803
0400108,2001,54.36681659170415
0400112,3340,85.82335329341318
0400121,707,79.68741159830269
0400124,676,32.646449704142015
0400125,83,73.77108433734941
0400129,27,75
0400130,115,81.91304347826087
0400133,136,76.38970588235294
0400144,303,77.20132013201321
0400147,477,53.51572327044025
0400149,1480,48.35
0400153,371,58.57142857142857
0400154,173,79.23121387283237
0400157,2588,27.35664605873261
0400159,747,12.832663989290495
0400160,24,75
0400161,85,53.56470588235294
0400163,1055,56.742180094786725
0400192,49,75
0400197,141,4.886524822695035
0400201,904,30.386061946902654
0400202,331,90.2870090634441
0400204,1914,34.29519331243469
0400207,56,30
0400209,267,85.93632958801498
0400211,490,93.6938775510204
0400212,1296,86.49845679012346
0400216,227,40.7488986784141
0400219,3670,24.778746594005447
0400223,495,64.77575757575758
0400225,952,94.9579831932773
0400231,252,89.42460317460318
0400235,15,24
0400238,495,91.26262626262627
0400241,1294,81.39489953632149
0400243,384,82.32552083333334
0400244,625,79.4848
0400246,112,82.36607142857143
0400248,190,85.42105263157895
0400254,460,28.16521739130435
0400259,395,86.50632911392405
0400261,2638,16.989764973464744
0400266,345,37.42898550724638
0400267,140,21.5
0400273,4336,25.158902214022138
0400274,1003,30.135593220338983
0400276,726,36.48622589531681
0400278,101,81.83168316831683
0400280,689,92.1277213352685
0400281,276,6.25
0400282,786,93.12213740458016
0400284,107,44.018691588785046
0400288,1053,73.5593542260209
0400290,309,87.57281553398059
0400295,6603,72.38709677419355
0400303,2279,29.629223343571745
0400311,4387,36.70253020287212
0400312,91,8.131868131868131
0400313,66,30
0400315,449,20.734966592427618
0400316,10,24
0400321,181,64.34254143646409
