dist,children,predom_race,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian
Fort Rucker School District,985,White,NA,12.442,4.897,32.756,2.809,2.049,3.249,0,14.6,61.6,9.8,3.7,3
Maxwell AFB School District,292,White,NA,15.226,10.189,30.651,0.997,1.453,5.479,0,22.2,55.6,8.3,0,0
Albertville City School District,4591,White,90.62127426852612,30.054,35.293,32.654,4.766,22.147,1.808,17.36,44.6,49.4,3.5,0,0.8
Marshall County School District,8299,White,88.8638041577618,26.622,29.52,23.487,2.638,14.249,4.35,3.868,24.3,70,1.7,0.2,0.8
Hoover City School District,15397,White,92.01012965964344,7.26,20.832,29.217,1.548,3.169,3.877,4.416,12.9,56.7,23.1,0,4.8
Madison City School District,9416,White,95.81858682138416,8.298,17.84,20.931,1.608,10.364,5.777,0.425,7.8,64.1,15,0.1,5.5
Leeds City School District,2324,White,90.77310924369748,16.888,27.438,30.436,2.99,23.763,8.003,0,9.1,65.5,24.6,0.8,0
Boaz City School District,1644,White,86.42917771883289,24.957,40.097,30.368,1.264,11.449,6.448,6.752,10.8,86.9,0,0,0
Trussville City School District,4476,White,95.79286289240676,6.698,22.902,25.657,0.677,3.92,2.525,0,1.8,82.6,6.7,0,2.6
Alexander City City School District,3064,White,87.07295988934993,37.336,50.406,23.418,4.222,17.757,5.222,2.872,11.8,43.2,41.7,0,2.4
Andalusia City School District,1425,White,94.3826714801444,31.194,57.908,27.138,2.049,9.486,15.158,0,1.7,63.3,33,0,1
Anniston City School District,3008,Black,78.61667703795892,38.065,53.8,25.753,1.21,26.994,9.475,0,1,13,77.7,0,0.2
Arab City School District,1454,White,93.22529465095197,17.518,32.91,28.344,0.596,9.139,5.64,1.307,3.4,94.2,0.3,0.3,0.7
Athens City School District,3824,White,88.4522396114409,17.829,33.69,33.215,1.605,14.985,9.283,4.786,17.5,63,12,0,2.8
Attalla City School District,1144,White,83.74577702702702,26.068,45.916,31.026,3.717,12.265,16.608,0,1.7,80.4,9.2,0,0
Saraland City School District,2728,White,92.04951185495118,20.18,32.962,25.503,2.151,7.886,3.959,0,1.8,78.9,15.3,0,0.4
Chickasaw City School District,1350,Black,80.21448087431695,41.289,63.652,33.821,3.904,29.954,3.926,0,2.4,20.9,69.7,0.8,0
Satsuma City School District,922,White,93.06746031746032,21.624,22.084,19.352,0,12.758,4.664,0,0,89.6,8.1,0,0
Alabaster City School District,6469,White,95.80277617119722,11.596,21.698,30.604,1.773,5.473,5.982,3.478,16.4,59.8,14.5,0.5,0.8
Pelham City School District,4044,White,92.88941091434766,8.138,27.001,30.181,1.266,10.545,4.006,5.02,19,66,8.7,0.4,5
Pike Road City School District,1813,White,NA,6.903,18.05,19.801,0.093,3.604,4.082,1.544,0,48.9,43,0,6.3
Auburn City School District,8277,White,91.4600643651258,11.712,28.417,28.593,3.151,6.877,4.676,4.217,5.8,57,24.6,0,10.9
Autauga County School District,10106,White,86.07522505857689,19.298,26.169,26.02,1.416,8.542,11.924,0.04,3.3,67.8,23.3,0.5,0.7
Baldwin County School District,33982,White,84.0670956198603,12.897,26.785,31.79,1.26,9.761,4.538,0.953,7.2,75.8,13.7,0.5,0.9
Barbour County School District,1698,Black,80.15403128760529,38.241,45.509,21.099,6.339,52.163,14.605,4.77,10.7,39.5,49.8,0,0
Bessemer City School District,4276,Black,74.19632925472746,31.249,69.503,34.593,1.812,19.586,12.582,1.169,5.4,2.9,86,0,0
Bibb County School District,3346,White,85.08165195460276,25.439,32.525,22.744,0.76,17.182,5.35,0,1.5,75.8,21.7,0,0
Birmingham City School District,29129,Black,77.67550270073987,35.05,68.143,30.61,1.433,22.469,8.373,2.228,5.1,4.8,87.4,0.1,0
Blount County School District,8897,White,91.4989168697536,15.215,29.853,26.389,1.571,18.268,3.26,2.563,16.4,78.7,0.8,0,0.7
Brewton City School District,806,Black,91.35841170323928,34.977,47.727,26.67,0.556,29.29,6.452,0,7.1,41.9,45.2,0,0
Bullock County School District,1554,Black,84.09641693811074,65.387,70.178,19.721,0,40.093,8.044,0,0,7.9,88.3,2.1,1.4
Butler County School District,3361,Black,81.74904822335026,34.704,47.489,27.977,1.774,33.246,4.999,0,0,37.6,58.3,0,1.2
Calhoun County School District,9446,White,90.75716933813106,18.749,31.073,26.475,2.043,13.825,9.867,0,7.7,75.4,11.4,0,0.4
Chambers County School District,4227,White,81.72538860103627,26.707,49.252,22.758,2.343,21.415,3.028,0,0.9,51,44.5,0,0
Cherokee County School District,4082,White,90.31574844074844,21.934,25.926,18.756,1.461,14.586,7.986,0,3.6,84.2,7,3.6,0.6
Chilton County School District,7880,White,84.72735153879498,22.291,36.517,27.486,2.704,25.822,6.523,0.812,15.3,68.1,9.3,0,0.4
Choctaw County School District,1979,Black,82.15284128020902,28.828,49.884,23.03,1.364,26.689,9.955,0,2.5,36.3,60.8,0,0
Clarke County School District,3174,Black,88.41445623342175,32.526,37.97,21.937,2.182,38.622,5.356,0,0,34.4,64.1,0,0.3
Clay County School District,2149,White,87.97266632284683,24.638,22.776,20.624,0.917,19.972,6.561,0,5.8,72.8,17.5,2,0
Cleburne County School District,2593,White,94.26993865030676,22.457,26.815,24.881,0.878,28.94,6.363,1.543,4.8,89.6,0.2,0,0
Coffee County School District,3280,White,94.4962686567164,20.27,26.081,23.248,1.72,13.52,8.232,1.037,12.5,77.2,4.2,1.1,0.1
Colbert County School District,3320,White,86.44613583138174,19.598,32.432,24.636,0.849,29.334,6.145,0,4.4,82.4,11.8,0,0.1
Conecuh County School District,1936,Black,82.59251700680272,38.356,50.66,29.06,1.093,37.194,6.147,0,1.4,32.7,64.9,0,0
Coosa County School District,1508,Black,79.85082304526749,29.868,42.823,24.842,0.902,29.514,10.411,0,0.3,48.1,51.5,0,0
Covington County School District,3524,White,92.25009154155988,26.093,26.198,23.32,2.133,15.227,9.563,0.114,3,88.9,3.7,0,0.9
Crenshaw County School District,2329,White,89.75204228736185,28.831,37.38,22.844,0.935,23.203,5.711,0,3.4,66.8,25.1,1.1,0
Cullman City School District,2415,White,91.59291666666668,20.512,28.276,32.158,2.387,15.712,8.116,0,6.1,90.6,0,0,0
