leaid,year,lea_name,fips,grade_edfacts,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt
0100005,2014,Albertville City,1,9,302,54,54,54,303,17,17,17
0100006,2014,Marshall County,1,9,465,56,56,56,465,15,15,15
0100007,2014,Hoover City,1,9,1124,77,77,77,1125,43,43,43
0100008,2014,Madison City,1,9,785,79,79,79,784,50,50,50
0100011,2014,Leeds City,1,9,106,70,74,72,106,15,19,17
0100012,2014,Boaz City,1,9,183,50,54,52,183,15,19,17
0100013,2014,Trussville City,1,9,332,82,82,82,332,42,42,42
0100030,2014,Alexander City,1,9,204,60,64,62,204,25,29,27
0100060,2014,Andalusia City,1,9,121,55,59,57,121,25,29,27
0100090,2014,Anniston City,1,9,125,30,34,32,124,0,5,2.5
0100100,2014,Arab City,1,9,206,75,79,77,206,35,39,37
0100120,2014,Athens City,1,9,225,65,69,67,225,25,29,27
0100180,2014,Attalla City,1,9,212,60,64,62,212,10,14,12
0100185,2014,Saraland City,1,9,225,70,74,72,225,20,24,22
0100188,2014,Chickasaw City,1,9,44,50,59,54.5,44,11,19,15
0100189,2014,Satsuma City,1,9,122,75,79,77,122,25,29,27
0100190,2014,Alabaster City,1,9,440,61,61,61,440,20,20,20
0100194,2014,Pelham City,1,9,206,70,74,72,206,20,24,22
0100210,2014,Auburn City,1,9,596,71,71,71,595,46,46,46
0100240,2014,Autauga County,1,9,759,64,64,64,759,27,27,27
0100270,2014,Baldwin County,1,9,2127,63,63,63,2127,25,25,25
0100300,2014,Barbour County,1,9,56,20,29,24.5,56,0,10,5
0100330,2014,Bessemer City,1,9,248,25,29,27,247,0,5,2.5
0100360,2014,Bibb County,1,9,271,50,54,52,271,10,14,12
0100390,2014,Birmingham City,1,9,1442,33,33,33,1426,6,6,6
0100420,2014,Blount County,1,9,601,57,57,57,601,15,15,15
0100450,2014,Brewton City,1,9,83,65,69,67,83,25,29,27
0100480,2014,Bullock County,1,9,102,20,24,22,102,0,5,2.5
0100510,2014,Butler County,1,9,224,40,44,42,224,10,14,12
0100540,2014,Calhoun County,1,9,738,62,62,62,738,16,16,16
0100600,2014,Chambers County,1,9,267,40,44,42,267,10,14,12
0100630,2014,Cherokee County,1,9,326,59,59,59,326,18,18,18
0100660,2014,Chilton County,1,9,601,57,57,57,601,15,15,15
0100690,2014,Choctaw County,1,9,111,45,49,47,111,6,9,7.5
0100720,2014,Clarke County,1,9,254,50,54,52,254,10,14,12
0100750,2014,Clay County,1,9,176,50,54,52,176,10,14,12
0100780,2014,Cleburne County,1,9,214,55,59,57,214,15,19,17
0100810,2014,Coffee County,1,9,186,50,54,52,187,10,14,12
0100840,2014,Colbert County,1,9,197,50,54,52,197,10,14,12
0100870,2014,Conecuh County,1,9,93,40,44,42,93,6,9,7.5
0100900,2014,Coosa County,1,9,83,50,54,52,83,6,9,7.5
0100930,2014,Covington County,1,9,228,60,64,62,228,20,24,22
0100960,2014,Crenshaw County,1,9,179,50,54,52,179,15,19,17
0100990,2014,Cullman City,1,9,228,75,79,77,228,40,44,42
0101020,2014,Cullman County,1,9,756,56,56,56,756,17,17,17
0101050,2014,Dale County,1,9,241,60,64,62,241,20,24,22
0101080,2014,Daleville City,1,9,100,45,49,47,100,10,14,12
0101110,2014,Dallas County,1,9,286,40,44,42,286,0,5,2.5
0101140,2014,Dekalb County,1,9,648,51,51,51,646,13,13,13
0101170,2014,Decatur City,1,9,549,52,52,52,549,21,21,21
0101200,2014,Demopolis City,1,9,150,50,54,52,150,15,19,17
0101230,2014,Dothan City,1,9,591,56,56,56,593,17,17,17
0101260,2014,Elba City,1,9,54,30,39,34.5,54,11,19,15
0101290,2014,Elmore County,1,9,724,61,61,61,723,20,20,20
0101320,2014,Enterprise City,1,9,533,66,66,66,533,30,30,30
0101350,2014,Escambia County,1,9,313,55,55,55,313,15,15,15
0101380,2014,Etowah County,1,9,656,63,63,63,656,22,22,22
0101410,2014,Eufaula City,1,9,197,45,49,47,198,10,14,12
0101440,2014,Fairfield City,1,9,138,20,24,22,137,0,5,2.5
0101470,2014,Fayette County,1,9,181,60,64,62,181,20,24,22
0101530,2014,Florence City,1,9,309,65,65,65,309,21,21,21
0101560,2014,Fort Payne City,1,9,214,50,54,52,214,15,19,17
0101590,2014,Franklin County,1,9,205,55,59,57,205,10,14,12
0101620,2014,Gadsden City,1,9,311,50,50,50,311,14,14,14
0101640,2014,Geneva City,1,9,80,60,64,62,80,25,29,27
0101660,2014,Geneva County,1,9,205,55,59,57,205,15,19,17
0101680,2014,Greene County,1,9,74,30,34,32,74,6,9,7.5
0101690,2014,Guntersville City,1,9,144,65,69,67,145,25,29,27
0101710,2014,Hale County,1,9,192,40,44,42,192,6,9,7.5
0101720,2014,Haleyville City,1,9,125,75,79,77,125,20,24,22
0101730,2014,Hartselle City,1,9,251,75,79,77,251,35,39,37
0101740,2014,Henry County,1,9,201,45,49,47,201,10,14,12
0101760,2014,Homewood City,1,9,271,70,74,72,271,45,49,47
