GeoId|Geography|LEAID|Year|Iteration|CDP05.3_51est|CDP05.3_51moe|CDP05.3_52est|CDP05.3_52moe|CDP05.3_52pct|CDP05.3_52pctmoe|CDP05.3_53est|CDP05.3_53moe|CDP05.3_53pct|CDP05.3_53pctmoe|CDP05.3_54est|CDP05.3_54moe|CDP05.3_54pct|CDP05.3_54pctmoe|CDP05.3_55est|CDP05.3_55moe|CDP05.3_55pct|CDP05.3_55pctmoe|CDP05.3_56est|CDP05.3_56moe|CDP05.3_56pct|CDP05.3_56pctmoe|CDP05.3_57est|CDP05.3_57moe|CDP05.3_57pct|CDP05.3_57pctmoe|CDP05.3_58est|CDP05.3_58moe|CDP05.3_58pct|CDP05.3_58pctmoe|CDP05.3_59est|CDP05.3_59moe|CDP05.3_59pct|CDP05.3_59pctmoe|CDP05.3_60est|CDP05.3_60moe|CDP05.3_60pct|CDP05.3_60pctmoe|CDP05.3_61est|CDP05.3_61moe|CDP05.3_61pct|CDP05.3_61pctmoe|CDP05.3_62est|CDP05.3_62moe|CDP05.3_62pct|CDP05.3_62pctmoe|CDP05.3_63est|CDP05.3_63moe|CDP05.3_63pct|CDP05.3_63pctmoe|CDP05.3_64est|CDP05.3_64moe|CDP05.3_64pct|CDP05.3_64pctmoe|CDP05.3_65est|CDP05.3_65moe|CDP05.3_65pct|CDP05.3_65pctmoe|CDP05.3_66est|CDP05.3_66moe|CDP05.3_66pct|CDP05.3_66pctmoe
97000US2700106|A.C.G.C. Public School District|2700106|2014-2018|105|885|105|50|35|5.6|4.0|50|34|5.6|3.8|0|12|0.0|2.0|0|12|0.0|2.0|4|3|0.5|1.0|830|95|93.8|3.4|830|95|93.8|3.5|0|12|0.0|2.0|0|12|0.0|2.0|0|12|0.0|2.0|0|12|0.0|2.0|0|12|0.0|2.0|4|3|0.5|0.8|0|12|0.0|2.0|4|3|0.5|0.8
97000US4500690|Abbeville County School District|4500690|2014-2018|105|3420|223|25|37|0.7|1.1|4|12|0.1|0.4|20|33|0.6|1.0|0|23|0.0|1.0|0|23|0.0|1.0|3395|220|99.3|1.1|2050|184|59.9|2.7|1120|168|32.7|4.7|0|23|0.0|1.0|4|7|0.1|0.2|0|23|0.0|1.0|0|23|0.0|1.0|220|127|6.4|3.7|4|2|0.1|0.3|220|127|6.4|3.7
97000US5500030|Abbotsford School District|5500030|2014-2018|105|685|124|285|83|41.6|9.0|275|82|40.1|9.0|4|12|0.6|2.9|0|9|0.0|2.5|0|9|0.0|2.5|405|93|59.1|9.1|380|88|55.5|8.9|0|9|0.0|2.5|0|9|0.0|2.5|4|3|0.6|1.1|0|9|0.0|2.5|0|9|0.0|2.5|20|20|2.9|3.0|0|9|0.0|2.5|20|20|2.9|3.0
97000US4807380|Abbott Independent School District|4807380|2014-2018|105|190|58|4|6|2.1|3.8|4|6|2.1|3.8|0|13|0.0|18.9|0|13|0.0|18.9|0|13|0.0|18.9|185|57|97.4|3.3|185|57|97.4|3.3|0|13|0.0|18.9|0|13|0.0|18.9|0|13|0.0|18.9|0|13|0.0|18.9|0|13|0.0|18.9|0|13|0.0|18.9|0|13|0.0|18.9|0|13|0.0|18.9
97000US2800360|Aberdeen School District|2800360|2014-2018|105|1405|233|10|18|0.7|1.3|10|18|0.7|1.3|0|18|0.0|2.6|0|18|0.0|2.6|0|18|0.0|2.6|1395|235|99.3|1.3|140|154|10.0|10.0|1225|185|87.2|10.0|0|18|0.0|2.6|0|18|0.0|2.6|0|18|0.0|2.6|0|18|0.0|2.6|30|38|2.1|2.9|0|18|0.0|2.6|30|38|2.1|2.9
97000US5300030|Aberdeen School District|5300030|2014-2018|105|3480|347|980|249|28.2|6.3|795|237|22.8|6.5|0|22|0.0|0.9|0|22|0.0|0.9|185|169|5.3|4.7|2500|315|71.8|6.3|2010|321|57.8|7.1|4|3|0.1|0.4|115|81|3.3|2.4|60|47|1.7|1.3|4|3|0.1|0.4|0|22|0.0|0.9|315|139|9.1|4.0|0|22|0.0|0.9|315|139|9.1|4.0
97000US1600030|Aberdeen School District 58|1600030|2014-2018|105|745|196|365|138|49.0|14.7|365|138|49.0|14.7|0|12|0.0|4.3|0|12|0.0|4.3|0|12|0.0|4.3|380|155|51.0|14.7|285|118|38.3|13.1|0|12|0.0|4.3|0|12|0.0|4.3|15|33|2.0|4.2|0|12|0.0|4.3|0|12|0.0|4.3|75|79|10.1|9.8|0|12|0.0|4.3|75|79|10.1|9.8
97000US4807410|Abernathy Independent School District|4807410|2014-2018|105|805|166|515|144|64.0|11.4|485|146|60.2|11.9|4|7|0.5|0.9|0|13|0.0|4.8|20|22|2.5|2.8|295|108|36.6|11.4|255|105|31.7|11.3|0|13|0.0|4.8|0|13|0.0|4.8|0|13|0.0|4.8|0|13|0.0|4.8|0|13|0.0|4.8|35|29|4.3|3.8|4|9|0.5|1.4|30|26|3.7|3.4
97000US4807440|Abilene Independent School District|4807440|2014-2018|105|15410|602|6515|501|42.3|2.4|6045|504|39.2|2.6|170|132|1.1|0.9|0|31|0.0|0.3|305|156|2.0|1.0|8895|444|57.7|2.4|6030|448|39.1|2.5|2110|225|13.7|1.5|65|26|0.4|0.2|185|108|1.2|0.7|0|31|0.0|0.3|35|51|0.2|0.3|465|168|3.0|1.1|0|31|0.0|0.3|465|168|3.0|1.1
97000US2003180|Abilene Unified School District 435|2003180|2014-2018|105|1270|177|60|51|4.7|3.7|40|45|3.1|3.4|0|15|0.0|1.9|20|28|1.6|2.2|0|15|0.0|1.9|1215|165|95.7|3.9|1165|168|91.7|5.1|45|42|3.5|3.3|0|15|0.0|1.9|0|15|0.0|1.9|0|15|0.0|1.9|0|15|0.0|1.9|0|15|0.0|1.9|0|15|0.0|1.9|0|15|0.0|1.9
97000US3400660|Absecon City School District|3400660|2014-2018|105|1040|231|145|93|13.9|9.7|50|68|4.8|6.3|15|16|1.4|1.7|0|17|0.0|3.1|80|71|7.7|7.8|895|251|86.1|9.7|755|259|72.6|11.5|85|58|8.2|6.3|0|17|0.0|3.1|55|34|5.3|3.4|0|17|0.0|3.1|0|17|0.0|3.1|0|17|0.0|3.1|0|17|0.0|3.1|0|17|0.0|3.1
97000US1700105|A-C Central Community Unit School District 262|1700105|2014-2018|105|445|71|35|40|7.9|8.4|25|37|5.6|8.0|10|13|2.2|2.8|0|11|0.0|6.0|0|11|0.0|6.0|410|59|92.1|8.4|385|57|86.5|9.3|4|4|0.9|1.5|10|20|2.2|4.7|0|11|0.0|6.0|0|11|0.0|6.0|0|11|0.0|6.0|10|11|2.2|2.4|0|11|0.0|6.0|10|11|2.2|2.4
97000US4807470|Academy Independent School District|4807470|2014-2018|105|1560|340|300|157|19.2|9.8|290|157|18.6|9.8|10|15|0.6|1.0|0|19|0.0|2.5|4|5|0.3|0.4|1260|329|80.8|9.8|1110|328|71.2|11.8|15|29|1.0|1.9|0|19|0.0|2.5|90|62|5.8|3.9|0|19|0.0|2.5|0|19|0.0|2.5|40|43|2.6|3.0|0|19|0.0|2.5|40|43|2.6|3.0
97000US2200030|Acadia Parish School District|2200030|2014-2018|105|9870|425|260|129|2.6|1.3|205|159|2.1|1.6|0|29|0.0|0.4|0|29|0.0|0.4|55|85|0.6|0.9|9605|415|97.3|1.3|6540|420|66.3|2.4|2565|375|26.0|3.9|0|29|0.0|0.4|15|28|0.2|0.3|10|19|0.1|0.2|0|29|0.0|0.4|475|264|4.8|2.7|0|29|0.0|0.4|475|264|4.8|2.7
97000US5100060|Accomack County Public Schools|5100060|2014-2018|105|4595|254|860|83|18.7|1.8|725|130|15.8|2.8|4|2|0.1|0.2|0|25|0.0|0.7|135|104|2.9|2.3|3735|243|81.3|1.8|1810|224|39.4|3.1|1725|131|37.5|3.4|85|50|1.8|1.1|4|5|0.1|0.1|0|25|0.0|0.7|4|5|0.1|0.1|110|88|2.4|1.9|0|25|0.0|0.7|110|88|2.4|1.9
97000US0600001|Acton-Agua Dulce Unified School District|0600001|2014-2018|105|1250|247|370|148|29.6|12.1|360|147|28.8|12.0|0|19|0.0|2.8|0|19|0.0|2.8|10|16|0.8|1.4|880|261|70.4|12.1|810|255|64.8|13.3|10|8|0.8|1.1|0|19|0.0|2.8|20|24|1.6|1.9|0|19|0.0|2.8|0|19|0.0|2.8|40|49|3.2|3.8|0|19|0.0|2.8|40|49|3.2|3.8
97000US2700126|Ada-Borup Public School District|2700126|2014-2018|105|520|66|90|28|17.3|5.0|90|28|17.3|5.0|0|9|0.0|3.3|0|9|0.0|3.3|0|9|0.0|3.3|430|61|82.7|5.0|360|56|69.2|6.7|0|9|0.0|3.3|40|29|7.7|5.1|0|9|0.0|3.3|0|9|0.0|3.3|0|9|0.0|3.3|30|11|5.8|2.3|0|9|0.0|3.3|30|11|5.8|2.3
97000US2100030|Adair County School District|2100030|2014-2018|105|2705|115|80|14|3.0|0.5|80|14|3.0|0.5|0|18|0.0|1.1|0|18|0.0|1.1|0|18|0.0|1.1|2620|114|96.9|0.7|2590|111|95.7|1.1|30|27|1.1|1.0|0|18|0.0|1.1|0|18|0.0|1.1|0|18|0.0|1.1|0|18|0.0|1.1|0|18|0.0|1.1|0|18|0.0|1.1|0|18|0.0|1.1
97000US1903090|Adair-Casey Community School District|1903090|2014-2018|105|365|102|4|8|1.1|3.0|4|7|1.1|1.9|0|9|0.0|5.3|0|9|0.0|5.3|4|3|1.1|2.2|360|103|98.6|2.5|335|102|91.8|6.8|0|9|0.0|5.3|0|9|0.0|5.3|4|4|1.1|1.7|0|9|0.0|5.3|0|9|0.0|5.3|20|22|5.5|6.1|0|9|0.0|5.3|20|22|5.5|6.1
97000US1800060|Adams Central Community Schools|1800060|2014-2018|105|1380|276|135|76|9.8|5.4|125|79|9.1|5.6|0|16|0.0|2.1|0|16|0.0|2.1|10|15|0.7|1.2|1245|262|90.2|5.4|1240|261|89.9|5.5|4|11|0.3|0.8|0|16|0.0|2.1|0|16|0.0|2.1|0|16|0.0|2.1|0|16|0.0|2.1|0|16|0.0|2.1|0|16|0.0|2.1|0|16|0.0|2.1
97000US5500060|Adams-Friendship Area School District|5500060|2014-2018|105|1660|101|100|31|6.0|1.8|55|31|3.3|1.9|30|26|1.8|1.6|0|14|0.0|1.0|15|22|0.9|1.4|1560|99|94.0|1.8|1460|95|88.0|2.5|15|19|0.9|1.1|10|14|0.6|0.9|15|11|0.9|0.8|0|14|0.0|1.0|0|14|0.0|1.0|65|38|3.9|2.2|0|14|0.0|1.0|65|38|3.9|2.2
97000US5099903|Addison Central Supervisory Union|5099903|2014-2018|105|1550|144|90|27|5.8|1.7|80|32|5.2|2.2|4|5|0.3|0.4|0|15|0.0|1.3|10|13|0.6|0.8|1460|141|94.2|1.7|1210|144|78.1|4.5|90|50|5.8|3.2|4|6|0.3|0.4|70|38|4.5|2.6|0|15|0.0|1.3|0|15|0.0|1.3|85|50|5.5|3.2|0|15|0.0|1.3|85|50|5.5|3.2
97000US5099901|Addison Northeast Supervisory Union|5099901|2014-2018|105|1790|157|30|23|1.7|1.3|10|12|0.6|0.7|10|17|0.6|0.9|0|15|0.0|1.1|10|9|0.6|0.5|1760|158|98.3|1.3|1665|168|93.0|3.0|30|37|1.7|2.1|0|15|0.0|1.1|25|20|1.4|1.1|0|15|0.0|1.1|4|4|0.2|0.3|40|24|2.2|1.3|0|15|0.0|1.1|40|24|2.2|1.3
97000US5099902|Addison Northwest Supervisory Union|5099902|2014-2018|105|940|103|15|17|1.6|1.8|15|17|1.6|1.8|0|13|0.0|2.1|0|13|0.0|2.1|0|13|0.0|2.1|925|101|98.4|1.8|910|101|96.8|2.5|0|13|0.0|2.1|0|13|0.0|2.1|0|13|0.0|2.1|0|13|0.0|2.1|0|13|0.0|2.1|15|15|1.6|1.7|0|13|0.0|2.1|15|15|1.6|1.7
97000US5099904|Addison Rutland Supervisory Union|5099904|2014-2018|105|1370|166|25|30|1.8|2.3|15|19|1.1|1.5|0|15|0.0|1.4|0|15|0.0|1.4|10|12|0.7|0.9|1350|176|98.5|2.4|1325|177|96.7|3.2|4|13|0.3|1.2|0|15|0.0|1.4|0|15|0.0|1.4|0|15|0.0|1.4|15|27|1.1|2.0|0|15|0.0|1.4|0|15|0.0|1.4|0|15|0.0|1.4
95000US1703150|Addison School District 4|1703150|2014-2018|105|3970|432|2615|333|65.9|5.0|2290|320|57.7|6.0|70|56|1.8|1.4|0|23|0.0|0.7|255|166|6.4|4.0|1355|258|34.1|5.0|1000|237|25.2|4.9|85|83|2.1|2.1|0|23|0.0|0.7|205|110|5.2|2.8|0|23|0.0|0.7|0|23|0.0|0.7|65|65|1.6|1.6|0|23|0.0|0.7|65|65|1.6|1.6
97000US1903150|Adel-De Soto-Minburn Community School District|1903150|2014-2018|105|1680|227|55|49|3.3|2.9|35|41|2.1|2.5|20|27|1.2|1.6|0|13|0.0|1.2|4|3|0.2|0.5|1620|226|96.4|3.0|1575|223|93.8|3.7|4|14|0.2|1.0|0|13|0.0|1.2|0|13|0.0|1.2|0|13|0.0|1.2|0|13|0.0|1.2|40|35|2.4|2.1|0|13|0.0|1.2|40|35|2.4|2.1
97000US4600042|Agar-Blunt-Onida School District 58-3|4600042|2014-2018|105|385|73|20|23|5.2|6.4|20|23|5.2|6.4|0|9|0.0|5.1|0|9|0.0|5.1|0|9|0.0|5.1|360|69|93.5|5.8|315|62|81.8|10.2|0|9|0.0|5.1|20|22|5.2|5.9|0|9|0.0|5.1|0|9|0.0|5.1|0|9|0.0|5.1|25|19|6.5|4.8|0|9|0.0|5.1|25|19|6.5|4.8
97000US4807530|Agua Dulce Independent School District|4807530|2014-2018|105|275|103|195|84|70.9|16.9|195|84|70.9|16.9|0|13|0.0|13.5|0|13|0.0|13.5|0|13|0.0|13.5|75|56|27.3|17.1|55|46|20.0|14.9|20|35|7.3|11.9|0|13|0.0|13.5|0|13|0.0|13.5|0|13|0.0|13.5|0|13|0.0|13.5|0|13|0.0|13.5|0|13|0.0|13.5|0|13|0.0|13.5
96000US0400450|Agua Fria Union High School District|0400450|2014-2018|105|8415|621|3640|484|43.3|5.1|3215|478|38.2|5.3|95|65|1.1|0.7|10|15|0.1|0.2|325|147|3.9|1.7|4775|579|56.7|5.1|3055|504|36.3|4.9|810|262|9.6|3.0|85|81|1.0|0.9|250|96|3.0|1.2|0|29|0.0|0.4|70|72|0.8|0.9|505|180|6.0|2.2|0|29|0.0|0.4|505|180|6.0|2.2
95000US0400480|Aguila Elementary District|0400480|2014-2018|105|300|121|285|113|95.0|9.7|225|106|75.0|15.2|10|14|3.3|5.0|0|12|0.0|11.0|50|41|16.7|13.3|15|29|5.0|9.7|0|12|0.0|11.0|0|12|0.0|11.0|15|29|5.0|9.7|0|12|0.0|11.0|0|12|0.0|11.0|0|12|0.0|11.0|0|12|0.0|11.0|0|12|0.0|11.0|0|12|0.0|11.0
97000US1903060|AGWSR Community School District|1903060|2014-2018|105|740|130|65|48|8.8|6.5|55|44|7.4|6.1|0|9|0.0|2.7|0|9|0.0|2.7|10|13|1.4|2.0|675|134|91.2|6.5|650|131|87.8|7.6|0|9|0.0|2.7|10|17|1.4|2.4|0|9|0.0|2.7|0|9|0.0|2.7|0|9|0.0|2.7|15|15|2.0|1.6|4|6|0.5|0.7|10|14|1.4|1.9
97000US4500720|Aiken County School District|4500720|2014-2018|105|24855|622|2460|89|9.9|0.4|1595|233|6.4|1.0|195|136|0.8|0.5|30|33|0.1|0.1|645|172|2.6|0.7|22390|615|90.1|0.4|13225|543|53.2|1.4|7760|409|31.2|1.6|115|106|0.5|0.4|215|148|0.9|0.6|0|29|0.0|0.1|90|96|0.4|0.4|985|341|4.0|1.4|0|29|0.0|0.1|985|341|4.0|1.4
95000US1703210|Akin Community Consolidated School District 91|1703210|2014-2018|105|75|24|0|11|0.0|29.8|0|11|0.0|29.8|0|11|0.0|29.8|0|11|0.0|29.8|0|11|0.0|29.8|75|24|100.0|29.8|75|24|100.0|29.8|0|11|0.0|29.8|0|11|0.0|29.8|0|11|0.0|29.8|0|11|0.0|29.8|0|11|0.0|29.8|0|11|0.0|29.8|0|11|0.0|29.8|0|11|0.0|29.8
97000US1903220|Akron-Westfield Community School District|1903220|2014-2018|105|655|148|45|39|6.9|5.7|30|33|4.6|5.2|15|19|2.3|3.0|0|9|0.0|3.0|0|9|0.0|3.0|610|147|93.1|5.7|610|147|93.1|5.7|0|9|0.0|3.0|0|9|0.0|3.0|0|9|0.0|3.0|0|9|0.0|3.0|0|9|0.0|3.0|0|9|0.0|3.0|0|9|0.0|3.0|0|9|0.0|3.0
97000US0100190|Alabaster City School District|0100190|2014-2018|105|5290|518|865|278|16.4|5.0|745|265|14.1|4.9|15|23|0.3|0.4|0|25|0.0|0.6|105|89|2.0|1.7|4425|508|83.6|5.0|3165|444|59.8|6.3|765|190|14.5|3.5|25|46|0.5|0.9|40|54|0.8|1.0|0|25|0.0|0.6|145|154|2.7|2.9|275|154|5.2|2.7|0|25|0.0|0.6|275|154|5.2|2.7
